domain,saas,pbn,checked,news,legal,technology,reviews,technologies,store,shop,travel,fashion,school,education,review,health,law,finance,music,lifestyle,university,business,stories,tech,real estate,entertainment,celebrities,food,construction,kitchen,magazine,medical,net worth,biography,finances
infineon.com,3.0,1.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infineon.com,3.0,1.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinia.com.tr,0.0,1.0,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinia.com.tr,0.0,1.0,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinispan.org,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinispan.org,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitaccounting.com,2.0,1.0,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitaccounting.com,2.0,1.0,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitaskc.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitaskc.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinite-intelligence.net,1.0,1.0,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinite-intelligence.net,1.0,1.0,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinite-uptime.com,2.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinite-uptime.com,2.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitedt.com,1.0,1.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitedt.com,1.0,1.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitee-designs.com,3.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitee-designs.com,3.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infiniteimpacthealth.com,1.0,1.0,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
infiniteimpacthealth.com,1.0,1.0,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitemusic.com.au,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitemusic.com.au,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infiniteoutdoorsusa.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infiniteoutdoorsusa.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitesucculent.com,0.0,1.0,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
infinitesucculent.com,0.0,1.0,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
infinitev.au,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitev.au,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitevouchers.com,0.0,2.0,True,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,
infinitevouchers.com,0.0,2.0,True,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,
infinitiofcoolsprings.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitiofcoolsprings.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitiofscottsdale.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitiofscottsdale.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitioptics.com,2.0,1.0,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitioptics.com,2.0,1.0,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinityathletics.com.au,0.0,1.0,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
infinityathletics.com.au,0.0,1.0,True,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
infinitybposervices.com,3.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitybposervices.com,3.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitybusinessinsights.com,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitybusinessinsights.com,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitygreens.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitygreens.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitygroupcm.com,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitygroupcm.com,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinityloops.co,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinityloops.co,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitymigration.com,1.0,1.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitymigration.com,1.0,1.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinityrms.com,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinityrms.com,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitysoftware.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitysoftware.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitysportkitesurfing.com,0.0,2.0,True,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,
infinitysportkitesurfing.com,0.0,2.0,True,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,
infinitytheuniverse.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitytheuniverse.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinityutilities.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinityutilities.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitywindows.com,0.0,1.0,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infinitywindows.com,0.0,1.0,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infire.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infire.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inflectionhr.com,2.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inflectionhr.com,2.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infleqtion.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infleqtion.com,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inflor.com,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inflor.com,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
