domain,saas,pbn,checked
attorneyatlawmagazine.com,0.0,1.0,True
audio-technica.com,0.0,0.0,True
authy.com,3.0,2.0,True
avantio.com,0.0,0.0,True
aviva.co.uk,0.0,1.0,True
avs4you.com,1.0,1.0,True
awai.com,0.0,0.0,True
amazongames.com,0.0,2.0,True
axelos.com,0.0,1.0,True
ayoa.com,3.0,2.0,True
back4app.com,0.0,0.0,True
baeldung.com,0.0,0.0,True
ballarddesigns.com,0.0,0.0,True
citibank.com,0.0,0.0,True
bankrate.com,0.0,0.0,True
bannerbuzz.com,0.0,0.0,True
banzai.io,1.0,0.0,True
bi-survey.com,0.0,0.0,True
bark.us,0.0,0.0,True
bartleby.com,2.0,10.0,True
bbva.com,0.0,1.0,True
bccresearch.com,0.0,2.0,True
belonghome.com,0.0,0.0,True
bemoacademicconsulting.com,0.0,2.0,True
benheine.com,2.0,2.0,True
benetrends.com,1.0,0.0,True
bestcustomwriting.com,0.0,0.0,True
betterthancash.org,,,
betterworks.com,0.0,0.0,True
sanfranciscomediagroup.com,1.0,0.0,True
biffa.co.uk,0.0,1.0,True
bigdropinc.com,0.0,0.0,True
list.ly,0.0,9.0,True
bigleap.com,0.0,0.0,True
bipartisanpolicy.org,0.0,0.0,True
birkenstock.com,,,
bitcoinist.com,0.0,5.0,True
bitrebels.com,0.0,4.0,True
bitslovers.com,0.0,1.0,True
7pcb.com,0.0,0.0,True
bitt.com,,,
biz2credit.com,0.0,0.0,True
bizbash.com,,,
bizbuysell.com,,,
bizjournals.com,0.0,0.0,True
bizneo.com,0.0,0.0,True
blackenterprise.com,0.0,6.0,True
blackhawknetwork.com,0.0,0.0,True
blendcommerce.com,0.0,0.0,True
bloggerlocal.com,0.0,2.0,True
tweakyourbiz.com,0.0,4.0,True
bloggingwizard.com,3.0,1.0,True
blogher.com,0.0,0.0,True
bluelabelpackaging.com,0.0,0.0,True
bluewillow.ai,0.0,0.0,True
bma.org.uk,0.0,0.0,True
bmwusa.com,,,
boardinfinity.com,0.0,0.0,True
boardgamegeek.com,0.0,0.0,True
bonomotion.com,0.0,0.0,True
bookkeepers.com,0.0,0.0,True
bookshop.org,0.0,0.0,True
boonedam.com,0.0,0.0,True
bostonherald.com,0.0,8.0,True
guardian.ng,0.0,12.0,True
brainhub.eu,3.0,0.0,True
brennancenter.org,0.0,0.0,True
brightsign.biz,2.0,5.0,True
britishcouncil.org,,,
british-assessment.co.uk,0.0,0.0,True
broadlume.com,1.0,0.0,True
bstock.com,0.0,0.0,True
bournemouth.ac.uk,0.0,1.0,True
liveabout.com,0.0,2.0,True
itweb.co.za,0.0,0.0,True
buildgrowscale.com,0.0,0.0,True
buildingsiot.com,,,
builtinchicago.org,0.0,0.0,True
cliquestudios.com,0.0,1.0,True
builtvisible.com,0.0,1.0,True
business.com,2.0,5.0,True
thehindubusinessline.com,0.0,0.0,True
businesssetup.com,0.0,0.0,True
businesscollective.com,0.0,1.0,True
businesscomparison.com,0.0,1.0,True
detailed.com,0.0,3.0,True
businessyield.com,0.0,3.0,True
theinspirationgrid.com,1.0,1.0,True
getbyrd.com,0.0,0.0,True
contentgrip.com,0.0,1.0,True
eatrightpro.org,0.0,0.0,True
cakeresume.com,2.0,2.0,True
bandlab.com,0.0,0.0,True
calendar.com,0.0,0.0,True
camelcamelcamel.com,0.0,0.0,True
caminofinancial.com,0.0,0.0,True
cira.ca,0.0,0.0,True
canalys.com,0.0,0.0,True
capitalgroup.com,0.0,0.0,True
capital.com,0.0,1.0,True
capitalism.com,0.0,0.0,True
captiv8.io,0.0,0.0,True
cardconnect.com,0.0,0.0,True
careerarc.com,1.0,2.0,True
cargocollective.com,0.0,0.0,True
cbi.eu,0.0,1.0,True
ccleaner.com,0.0,0.0,True
cdkglobal.com,1.0,0.0,True
celtra.com,0.0,0.0,True
situational.com,0.0,2.0,True
capc.org,0.0,1.0,True
queensu.ca,0.0,0.0,True
ceros.com,0.0,0.0,True
cfoselections.com,,,
cgap.org,0.0,2.0,True
channelvmedia.com,0.0,0.0,True
chargebackgurus.com,,,
wallstreetmojo.com,0.0,0.0,True
crai.com,0.0,0.0,True
charlotteobserver.com,,,
chea.org,0.0,0.0,True
cheapism.com,0.0,6.0,True
checklist.com,1.0,6.0,True
checkmark.com,1.0,0.0,True
chiefarchitect.com,0.0,0.0,True
chiefoutsiders.com,,,
cim.co.uk,0.0,0.0,True
ciocoverage.com,7.0,3.0,True
ciphr.com,5.0,0.0,True
circlesstudio.com,0.0,0.0,True
circuitstream.com,0.0,0.0,True
cnb.com,1.0,1.0,True
folsom.ca.us,0.0,0.0,True
weho.org,0.0,0.0,True
clarifyhealth.com,0.0,0.0,True
classcentral.com,1.0,4.0,True
cleancommit.io,2.0,1.0,True
clearbooks.co.uk,2.0,0.0,True
clickpost.ai,0.0,0.0,True
clockshark.com,0.0,0.0,True
clootrack.com,0.0,0.0,True
cloudcomputingtechnologies.com,,,
cloudfoundation.com,6.0,0.0,True
cloudwards.net,6.0,1.0,True
cmoe.com,0.0,1.0,True
coassemble.com,0.0,0.0,True
cogo.co,0.0,1.0,True
coindoo.com,0.0,0.0,True
coingecko.com,0.0,0.0,True
coingeek.com,0.0,4.0,True
cointelegraph.com,0.0,0.0,True
collegeinfogeek.com,0.0,1.0,True
colorkinetics.com,0.0,0.0,True
cpr.org,0.0,2.0,True
comed.com,0.0,2.0,True
ccjdigital.com,0.0,0.0,True
boredpanda.com,0.0,5.0,True
comparably.com,0.0,0.0,True
compose.ly,2.0,5.0,True
configureone.com,0.0,0.0,True
connectedsolutionsgroup.com,0.0,0.0,True
consolidatedcredit.org,0.0,0.0,True
constructionequipment.com,1.0,2.0,True
consumeraffairs.com,0.0,1.0,True
ccsinet.com,,,
contentmarketing.io,0.0,1.0,True
continuity2.com,0.0,0.0,True
azeusconvene.com,0.0,1.0,True
conversionperk.com,7.0,0.0,True
pinterest.com.mx,0.0,0.0,True
copyscape.com,0.0,0.0,True
copysmith.ai,3.0,0.0,True
core77.com,0.0,0.0,True
corefy.com,0.0,0.0,True
bankcfcu.org,0.0,0.0,True
corporatehousingbyowner.com,0.0,0.0,True
coterieinsurance.com,0.0,0.0,True
covethouse.eu,0.0,1.0,True
cowen.com,,,
cox.com,0.0,0.0,True
cpdonline.co.uk,0.0,1.0,True
routledge.com,0.0,0.0,True
creativeboom.com,0.0,3.0,True
creativeclickmedia.com,8.0,1.0,True
creativefabrica.com,0.0,0.0,True
afaqs.com,1.0,1.0,True
nomoredebts.org,1.0,0.0,True
cutimes.com,0.0,1.0,True
creditdonkey.com,0.0,1.0,True
crown.com,0.0,0.0,True
crypto.com,0.0,1.0,True
cryptopolitan.com,0.0,0.0,True
csoonline.com,2.0,0.0,True
calcalistech.com,,,
cuelogic.com,0.0,0.0,True
culvercareers.com,0.0,0.0,True
cummins.com,0.0,0.0,True
curricula.com,0.0,0.0,True
indeed.jobs,0.0,0.0,True
cushmanwakefield.com,,,
cdpinstitute.org,,,
cxm.co.uk,0.0,0.0,True
cuttles.io,0.0,0.0,True
paperswithcode.com,0.0,0.0,True
cyberghostvpn.com,0.0,0.0,True
d2iq.com,0.0,0.0,True
dailysabah.com,0.0,0.0,True
daisie.com,0.0,0.0,True
dataaxleusa.com,0.0,0.0,True
datacenterknowledge.com,0.0,1.0,True
datasciencecentral.com,2.0,2.0,True
datacenters.com,0.0,2.0,True
dataconomy.com,0.0,2.0,True
data-flair.training,0.0,0.0,True
dataguard.co.uk,0.0,0.0,True
datascope.io,0.0,0.0,True
dataspan.com,0.0,0.0,True
dataversity.net,0.0,0.0,True
datawallet.com,0.0,1.0,True
dayshape.com,1.0,0.0,True
peakd.com,0.0,0.0,True
dnb.nl,0.0,0.0,True
deaconess.com,,,
dealroom.co,0.0,0.0,True
dechert.com,,,
decisionanalyst.com,4.0,0.0,True
decrypt.co,1.0,6.0,True
deepsentinel.com,0.0,3.0,True
degoo.com,0.0,0.0,True
delorean.com,0.0,0.0,True
delveinsight.com,0.0,0.0,True
dentalproductsreport.com,1.0,1.0,True
designcouncil.org.uk,0.0,0.0,True
designblendz.com,,,
designingbuildings.co.uk,0.0,2.0,True
devolutions.net,0.0,1.0,True
devops.com,0.0,1.0,True
devpost.com,0.0,0.0,True
dexerto.com,0.0,3.0,True
dhakatribune.com,0.0,5.0,True
dial800.com,0.0,0.0,True
dice.com,2.0,0.0,True
dickerdata.com.au,,,
corvit.com,0.0,0.0,True
dictionary.com,0.0,1.0,True
digital.com,2.0,1.0,True
digivate.com,7.0,1.0,True
directindustry.com,0.0,0.0,True
disabled-world.com,0.0,1.0,True
discoveryeducation.com,0.0,1.0,True
dlapiper.com,0.0,1.0,True
dmnews.com,3.0,1.0,True
doist.com,0.0,0.0,True
dotesports.com,0.0,1.0,True
dovepress.com,0.0,1.0,True
dozr.com,0.0,0.0,True
dreamstime.com,0.0,0.0,True
drizly.com,0.0,0.0,True
abebooks.com,0.0,0.0,True
dukehealth.org,0.0,0.0,True
dumpsters.com,0.0,1.0,True
duplointernational.com,0.0,2.0,True
dvdfab.cn,0.0,1.0,True
eandi.org,,,
earnest.com,0.0,0.0,True
easypaydirect.com,1.0,1.0,True
easyagile.com,0.0,0.0,True
easyleadz.com,,,
easyship.com,0.0,0.0,True
eazyviral.com,0.0,0.0,True
angular.io,0.0,0.0,True
ecosmob.com,5.0,2.0,True
edelman.com,0.0,0.0,True
edmunds.com,,,
edna.io,0.0,2.0,True
edelements.com,,,
ece.org,0.0,0.0,True
edwardlowe.org,0.0,0.0,True
eetimes.com,,,
einsteinmarketer.com,0.0,0.0,True
barcode-labels.com,0.0,1.0,True
gigacalculator.com,5.0,0.0,True
freemake.com,0.0,1.0,True
emaze.com,0.0,0.0,True
embroker.com,0.0,1.0,True
emediamonitor.net,1.0,1.0,True
emergn.com,0.0,0.0,True
emerj.com,0.0,1.0,True
empist.com,0.0,0.0,True
empowersuite.com,,,
endava.com,0.0,2.0,True
endavomedia.com,,,
engagemedia.org,0.0,0.0,True
equitable.com,0.0,0.0,True
ere.net,0.0,0.0,True
escharts.com,0.0,0.0,True
etactics.com,0.0,0.0,True
vandelaydesign.com,0.0,1.0,True
etherscan.io,1.0,0.0,True
krebsonsecurity.com,0.0,0.0,True
eu-startups.com,0.0,1.0,True
europelanguagejobs.com,0.0,0.0,True
eib.org,0.0,1.0,True
eventflare.io,0.0,0.0,True
evinex.com,0.0,0.0,True
evoquedcs.com,,,
evrig.com,,,
eworkorders.com,3.0,0.0,True
exittechnologies.com,0.0,0.0,True
expertphotography.com,0.0,2.0,True
explodingtopics.com,0.0,0.0,True
expressvpn.com,1.0,1.0,True
fabsoft.com,0.0,0.0,True
dailytrust.com,0.0,6.0,True
familysearch.org,0.0,0.0,True
dentaltown.com,0.0,2.0,True
fastcasual.com,0.0,2.0,True
fastestlabs.com,0.0,1.0,True
fastspring.com,0.0,0.0,True
federalnewsnetwork.com,1.0,1.0,True
federatedhermes.com,0.0,0.0,True
feinternational.com,0.0,0.0,True
fenergo.com,1.0,0.0,True
fieldengineer.com,1.0,0.0,True
frc.org.uk,0.0,0.0,True
findlaw.com,0.0,0.0,True
findmykids.org,0.0,1.0,True
finextra.com,0.0,0.0,True
finfolio.com,,,
fintechmagazine.com,0.0,0.0,True
firstpagesage.com,7.0,5.0,True
fitsmallbusiness.com,0.0,0.0,True
flaunt.com,0.0,5.0,True
fleetio.com,0.0,0.0,True
flipkart.com,,,
fontsquirrel.com,0.0,0.0,True
forex.com,0.0,0.0,True
forgeandsmith.com,3.0,0.0,True
star-telegram.com,,,
insuranceopedia.com,0.0,0.0,True
fortunebuilders.com,0.0,2.0,True
fossbytes.com,0.0,2.0,True
fourseasons.com,0.0,2.0,True
fourlane.com,0.0,0.0,True
foxbusiness.com,0.0,6.0,True
framebridge.com,0.0,0.0,True
france24.com,0.0,1.0,True
freeconferencecall.com,0.0,0.0,True
freightos.com,0.0,1.0,True
freshysites.com,0.0,0.0,True
frontporchsolutions.com,7.0,0.0,True
frontlinesourcegroup.com,1.0,1.0,True
fuelcycle.com,0.0,1.0,True
fundable.com,0.0,2.0,True
fundkite.com,0.0,0.0,True
furnishedquarters.com,0.0,1.0,True
futurism.com,0.0,0.0,True
fuzia.com,0.0,0.0,True
zeebiz.com,0.0,5.0,True
gamedeveloper.com,0.0,3.0,True
gameloop.com,0.0,0.0,True
ganintegrity.com,0.0,0.0,True
gatewaycfs.com,1.0,1.0,True
gebauer.com,,,
gecu.com,,,
geekflare.com,0.0,0.0,True
geeksforgeeks.org,11.0,2.0,True
geekwire.com,0.0,0.0,True
geniusecommerce.com,,,
geopoll.com,0.0,0.0,True
getapp.com,0.0,0.0,True
getfluence.com,0.0,0.0,True
getsetresumes.com,0.0,0.0,True
geico.com,0.0,1.0,True
giffgaff.com,0.0,0.0,True
gigaspaces.com,,,
giggster.com,0.0,0.0,True
glassdoor.co.in,0.0,0.0,True
glasscubes.com,0.0,0.0,True
thegef.org,0.0,2.0,True
gfmag.com,0.0,1.0,True
gijn.org,0.0,1.0,True
iclg.com,0.0,0.0,True
globalowls.com,3.0,0.0,True
globaldata.com,0.0,0.0,True
globalpaymentsintegrated.com,0.0,0.0,True
glofox.com,0.0,0.0,True
gmrtranscription.com,,,
gobankingrates.com,0.0,3.0,True
goconstruct.org,0.0,1.0,True
goskills.com,2.0,2.0,True
goarmy.com,0.0,0.0,True
grafdom.com,3.0,2.0,True
grammarist.com,0.0,2.0,True
